type,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,url,poll_id,question_id,createddate
polls-plus,Wisconsin,10/20/16,10/22/16,Remington,,1795,lv,2.0482,46,41,5,,45.82095,39.91034,5.279784,,http://big.assets.huffingtonpost.com/WISTATEWIDE.pdf,47336,74071,10/25/16
polls-plus,Virginia,10/23/16,10/26/16,Christopher Newport University,B-,814,lv,2.035306,46,39,5,,47.05612,41.19929,3.226751,,http://cnu.edu/cpp/pdf/oct%2028%202016%20report-final.pdf,47634,74552,10/28/16
polls-plus,U.S.,10/17/16,10/23/16,SurveyMonkey,C-,32225,lv,2.033887,46,41,7,,45.10664,40.55154,3.776821,,https://www.scribd.com/document/328753246/NBC-News-SurveyMonkey-Toplines-and-Methodology-1017-1023?secret_password=sIipyJjqvaCenavKCCzX,47324,74045,10/25/16
polls-plus,U.S.,10/14/16,10/16/16,Monmouth University,A+,726,lv,2.030745,50,38,5,,49.10664,38.84195,4.262565,,https://www.monmouth.edu/polling-institute/reports/MonmouthPoll_US_101716/,46886,73362,10/17/16
polls-plus,U.S.,10/21/16,10/24/16,Greenberg Quinlan Rosner (Democracy Corps),B-,900,lv,2.027149,50,38,5,,48.64753,39.13502,3.402254,,http://www.democracycorps.com/attachments/article/1051/Dcor_Oct%20National_FQ_10.24.2016_ealert.pdf,47355,74118,10/25/16
polls-plus,Florida,10/20/16,10/22/16,Remington,,1646,lv,2.025219,46,46,2,,45.81844,44.86359,2.279784,,http://big.assets.huffingtonpost.com/FLSTATEWIDE.pdf,47334,74068,10/25/16
polls-plus,Missouri,10/24/16,10/26/16,"Mason-Dixon Polling & Research, Inc.",B+,625,lv,2.005996,42,47,3,,40.74757,46.9593,3.096597,,http://www.stltoday.com/news/local/govt-and-politics/trump-leads-clinton-blunt-kander-a-virtual-tie-in-missouri/article_a4a48a47-485f-5e9a-b6f6-1dba7c7deb48.html,47629,74545,10/27/16
polls-plus,Illinois,10/16/16,10/18/16,Victory Research,,1200,lv,1.98793,51.2,36.1,5.6,,50.61769,35.88925,4.533039,,http://big.assets.huffingtonpost.com/Victory.Research.Illinois.10.18.16.pdf,47315,74028,10/24/16
polls-plus,U.S.,10/11/16,10/14/16,SurveyUSA,A,845,lv,1.968903,46,36,5,,45.07566,36.11809,4.304335,,http://www.surveyusa.com/client/PollReport.aspx?g=43152229-1c55-4feb-8b4d-50aeb48c36b1,47062,73638,10/19/16
polls-plus,Florida,10/20/16,10/28/16,SurveyMonkey,C-,3129,lv,1.965996,47,44,5,,46.03916,42.96884,2.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47665,74641,10/28/16
polls-plus,Georgia,10/20/16,10/28/16,SurveyMonkey,C-,2433,lv,1.963218,44,45,8,,43.03777,43.91691,5.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47666,74642,10/28/16
polls-plus,California,10/20/16,10/28/16,SurveyMonkey,C-,2431,lv,1.962906,54,31,7,,53.03946,29.98001,4.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47660,74636,10/28/16
polls-plus,Texas,10/20/16,10/28/16,SurveyMonkey,C-,2377,lv,1.954307,40,47,8,,39.03889,45.95866,5.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47699,74675,10/28/16
polls-plus,Virginia,10/20/16,10/28/16,SurveyMonkey,C-,2518,lv,1.949287,49,39,8,,48.03884,37.95667,5.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47702,74678,10/28/16
polls-plus,Pennsylvania,10/20/16,10/28/16,SurveyMonkey,C-,2512,lv,1.920955,47,42,6,,46.03873,40.95287,3.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47694,74670,10/28/16
polls-plus,U.S.,10/22/16,10/26/16,Saint Leo University,C+,1050,lv,1.910706,46.05,34.95,7.6,,44.76593,38.1602,6.427795,,http://polls.saintleo.edu/clinton-lead-growing-in-florida-and-across-the-u-s-in-new-saint-leo-poll-and-most-expect-her-to-win-the-presidency/,47638,74561,10/28/16
polls-plus,South Carolina,10/20/16,10/28/16,SurveyMonkey,C-,2115,lv,1.907705,43,46,6,,42.03782,44.91868,3.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47696,74672,10/28/16
polls-plus,North Carolina,10/26/16,10/27/16,Emerson College,B,650,lv,1.893557,48,45,4,,47.78817,43.10942,3.988186,,http://projects.fivethirtyeight.com/polls/20161029_1.pdf,47759,74742,10/29/16
polls-plus,U.S.,10/19/16,10/20/16,Morning Consult,,1395,lv,1.876533,42,36,9,,43.32747,38.39664,6.990218,,http://www.politico.com/f/?id=00000157-e699-dd9d-ad7f-efdf0ec20001,47159,73796,10/21/16
polls-plus,Nevada,10/20/16,10/22/16,Remington,,1332,lv,1.874453,44,47,4,,43.81902,45.87438,4.279784,,http://big.assets.huffingtonpost.com/NVSTATEWIDE.pdf,47337,74072,10/25/16
polls-plus,Florida,10/22/16,10/26/16,Saint Leo University,C+,1028,lv,1.864871,50.4,36.95,4.95,,49.11581,40.15571,3.777795,,http://polls.saintleo.edu/clinton-lead-growing-in-florida-and-across-the-u-s-in-new-saint-leo-poll-and-most-expect-her-to-win-the-presidency/,47639,74562,10/28/16
polls-plus,California,10/13/16,10/15/16,SurveyUSA,A,725,lv,1.864607,56,30,4,,55.01892,30.12656,3.375075,,http://www.ocregister.com/articles/percent-732384-poll-california.html,46947,73434,10/17/16
polls-plus,U.S.,10/9/16,10/13/16,"RKM Research and Communications, Inc.",B+,1101,lv,1.8486,46,41,6,,46.54042,41.22983,4.669147,,http://www.bostonherald.com/sites/default/files/media/2016/10/16/FPU-BH-Memo-101616.pdf,46871,73328,10/16/16
polls-plus,Michigan,10/22/16,10/24/16,EPIC-MRA,A-,600,lv,1.845219,41,34,9,,41.9375,35.5569,7.771936,,http://wlns.com/2016/10/27/poll-clinton-holds-healthy-lead-over-trump-in-michigan/,47548,74381,10/27/16
polls-plus,Florida,10/19/16,10/19/16,Associated Industries of Florida,,1000,lv,1.82937,44,41,4,,44.15322,43.7472,2.795572,,http://static.politico.com/8a/b1/6632d7e147899c4489dd14a84e17/161024-states-statewidetrack.pdf,47462,74247,10/25/16
polls-plus,U.S.,10/12/16,10/18/16,Princeton Survey Research Associates International,B+,1029,rv,1.820868,49,38,,,48.38514,40.15967,,,http://files.kff.org/attachment/Kaiser-Health-Tracking-Poll-October-2016,47611,74510,10/27/16
polls-plus,Colorado,10/20/16,10/28/16,SurveyMonkey,C-,1731,lv,1.820341,45,38,11,,44.04007,37.00284,8.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47661,74637,10/28/16
polls-plus,Montana,10/10/16,10/12/16,"Mason-Dixon Polling & Research, Inc.",B+,1003,lv,1.810633,36,46,11,,35.35452,47.30738,9.619307,,http://missoulian.com/news/government-and-politics/trump-leads-in-montana-but-voters-aren-t-that-fond/article_09de91e3-c013-5e70-b82e-252fff748260.html,46870,73327,10/16/16
polls-plus,Pennsylvania,10/7/16,10/11/16,Selzer & Company,A+,806,lv,1.802073,48,39,6,,48.81501,39.81738,4.124738,,http://www.bloomberg.com/politics/articles/2016-10-13/pennsylvania-poll,46776,73148,10/13/16
polls-plus,Ohio,10/20/16,10/28/16,SurveyMonkey,C-,1980,lv,1.801587,40,45,9,,39.03926,43.97246,6.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47691,74667,10/28/16
polls-plus,Wisconsin,10/18/16,10/19/16,Public Policy Polling,B+,804,lv,1.800651,50,38,,,47.93343,36.9707,,,http://endcitizensunited.org/wp-content/uploads/2016/10/ECU-WI-poll-Oct19.pdf,47087,73699,10/19/16
polls-plus,New York,10/20/16,10/28/16,SurveyMonkey,C-,1630,lv,1.792329,57,32,4,,56.03944,30.97918,1.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47688,74664,10/28/16
polls-plus,Kansas,10/20/16,10/28/16,SurveyMonkey,C-,1619,lv,1.789123,36,47,12,,35.03975,45.99078,9.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47672,74648,10/28/16
polls-plus,Minnesota,10/20/16,10/22/16,"Mason-Dixon Polling & Research, Inc.",B+,625,lv,1.786893,47,39,6,,45.78039,39.70411,5.490098,,http://www.startribune.com/in-minnesota-poll-clinton-widens-lead-over-trump/398272671/,47319,74037,10/24/16
polls-plus,Nevada,10/20/16,10/23/16,Bendixen & Amandi International,,800,lv,1.784532,48,41,6,,46.98117,41.74101,5.527103,,http://www.reviewjournal.com/politics/election-2016/rj-poll-shows-clinton-pulling-away-trump-nevada?test,47318,74036,10/24/16
polls-plus,Michigan,10/20/16,10/28/16,SurveyMonkey,C-,1787,lv,1.784417,44,41,8,,43.03941,39.97808,5.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47678,74654,10/28/16
polls-plus,South Dakota,10/19/16,10/21/16,Remington,,1115,lv,1.770961,37,48,6,,36.85157,47.0299,6.1608,,http://www.ksfy.com/content/news/Poll-Trump-Thune-hold-double-digit-leads-in-South-Dakota-398112241.html,47346,74087,10/25/16
polls-plus,North Carolina,10/20/16,10/28/16,SurveyMonkey,C-,1797,lv,1.760752,48,43,7,,47.03831,41.93698,4.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47689,74665,10/28/16
polls-plus,Washington,10/20/16,10/22/16,Elway Research,A+,502,lv,1.757322,48,31,1,,48.12185,33.27216,1.732809,,https://www.documentcloud.org/documents/3173866-Elway-Poll-102416.html,47316,74029,10/24/16
polls-plus,Texas,10/22/16,10/24/16,Crosswind Media & Public Relations,C+,800,lv,1.753866,38,45,7,,37.77422,45.35343,5.715279,,http://www.mystatesman.com/news/news/state-regional-govt-politics/new-texas-polls-shows-trump-with-small-but-safe-le/nsx2d/,47529,74324,10/26/16
polls-plus,Nevada,10/25/16,10/25/16,Gravis Marketing,B-,875,rv,1.751408,46,46,3,,46.11118,45.54613,3.419643,,http://www.breitbart.com/big-government/2016/10/28/exclusive-breitbartgravis-nevada-poll-tied-donald-trump-hillary-clinton-46-percent/,47655,74630,10/28/16
polls-plus,Arizona,10/20/16,10/28/16,SurveyMonkey,C-,1747,lv,1.74848,42,43,9,,41.03958,41.98434,6.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47658,74634,10/28/16
polls-plus,Maine CD-2,10/10/16,10/11/16,Clarity Campaign Labs,B,932,lv,1.733826,39,39,,,37.63043,38.64314,,,https://www.scribd.com/document/328156011/ME-02-Clarity-Campaign-Labs-for-House-Majority-PAC-Oct-2016,47088,73701,10/19/16
polls-plus,New Hampshire,10/17/16,10/21/16,YouGov,B,772,lv,1.713647,43,38,8,,42.99535,38.46099,8.844257,,http://boston.cbslocal.com/2016/10/27/wbz-poll-new-hampshire-presidential-race-clinton-trump/,47326,74384,10/27/16
polls-plus,U.S.,10/12/16,10/16/16,CBS News/New York Times,A-,778,lv,1.705778,47,38,8,,47.30433,39.17729,5.550478,,http://www.cbsnews.com/news/cbs-poll-clintons-lead-over-trump-widens-with-three-weeks-to-go/,46954,73443,10/17/16
polls-plus,Florida,10/25/16,10/26/16,Dixie Strategies,C+,698,lv,1.705658,42.4,45.7,,,42.99184,44.73623,,,http://www.newsmax.com/Politics/donald-trump-florida-lead-dixie-strategies/2016/10/27/id/755672/,47621,74529,10/27/16
polls-plus,Nevada,10/26/16,10/27/16,Emerson College,B,550,lv,1.691202,44,42,3,,43.78817,40.10942,2.988186,,http://projects.fivethirtyeight.com/polls/20161029_1.pdf,47760,74743,10/29/16
polls-plus,Utah,10/12/16,10/14/16,YouGov,B,951,lv,1.665058,20,37,7,20,20.16801,37.24036,6.986209,21.26964,http://www.cbsnews.com/news/poll-women-propel-hillary-clinton-into-battleground-lead-over-donald-trump/?ftag=CNM-00-10aab7e&linkId=29990731,46866,73319,10/16/16
polls-plus,Utah,10/23/16,10/24/16,Rasmussen Reports/Pulse Opinion Research,C+,750,lv,1.658681,28,32,4,29,28.63514,32.4182,3.902295,29,http://heatst.com/politics/utah-poll-exclusive-voters-want-gop-to-endorse-evan-mcmullin-in-3-way-tie/,47525,74319,10/26/16
polls-plus,Idaho,10/23/16,10/24/16,Rasmussen Reports/Pulse Opinion Research,C+,750,lv,1.658681,29,48,6,,29.63521,48.42093,5.902295,,http://www.rasmussenreports.com/platinum/election_2016_state_polls/crosstabs_election_2016_idaho_president_october_20_22_2016,47609,74508,10/27/16
polls-plus,Pennsylvania,10/25/16,10/26/16,Emerson College,B,550,lv,1.656323,48,43,6,,47.79048,41.17345,5.93187,,http://media.wix.com/ugd/3bebb2_16b97664735d4325b018b7b608477434.pdf,47654,74627,10/28/16
polls-plus,North Carolina,10/14/16,10/16/16,SurveyUSA,A,651,lv,1.652552,46,44,6,,44.9266,43.9674,5.444391,,http://www.surveyusa.com/client/PollReport.aspx?g=ce17282d-d070-493a-8bcd-ee02ca9016e6,47057,73630,10/18/16
polls-plus,New York,10/13/16,10/17/16,Siena College,A,611,lv,1.645005,54,30,5,,54.25451,32.68422,2.639783,,http://files.constantcontact.com/9c83fb30501/bf2b01c8-26d1-4eaf-983a-1ee767e34e62.pdf,47059,73634,10/19/16
polls-plus,New Hampshire,10/23/16,10/25/16,Emerson College,B,600,lv,1.64423,46,43,6,,45.80382,41.69456,5.594647,,http://media.wix.com/ugd/3bebb2_16b97664735d4325b018b7b608477434.pdf,47652,74625,10/28/16
polls-plus,North Carolina,10/10/16,10/12/16,Marist College,A,743,lv,1.635694,45,41,9,,43.96025,42.62666,6.220516,,http://www.wsj.com/articles/hillary-clinton-leads-by-4-points-in-north-carolina-donald-trump-has-1-point-gain-in-ohio-poll-finds-1476388816?tesla=y,46788,73166,10/13/16
polls-plus,North Carolina,10/10/16,10/15/16,CNN/Opinion Research Corp.,A-,788,lv,1.627609,48,47,4,,47.34381,46.06627,2.225299,,http://i2.cdn.turner.com/cnn/2016/images/10/17/link.1..pdf,46883,73344,10/17/16
polls-plus,Iowa,10/20/16,10/28/16,SurveyMonkey,C-,1177,lv,1.627161,41,44,9,,40.04007,43.00269,6.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47671,74647,10/28/16
polls-plus,Louisiana,10/17/16,10/19/16,"Mason-Dixon Polling & Research, Inc.",B+,625,lv,1.622476,34,54,2,,32.8811,54.80454,1.168806,,http://www.ksla.com/story/33437911/exclusive-poll-trump-holds-strong-lead-over-clinton-in-louisiana,47155,73788,10/21/16
polls-plus,Illinois,10/20/16,10/28/16,SurveyMonkey,C-,1162,lv,1.620226,51,34,8,,50.03912,32.96743,5.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47669,74645,10/28/16
polls-plus,Massachusetts,10/24/16,10/26/16,Suffolk University,B+,500,lv,1.619264,57,25,4,,56.77589,25.39067,5.211861,,http://www.suffolk.edu/academics/10732.php,47614,74513,10/27/16
polls-plus,New Hampshire,10/11/16,10/17/16,University of New Hampshire,B+,755,lv,1.61498,49,34,8,,49.88059,36.88387,6.146001,,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2016_fall_preselec101916.pdf,47089,73703,10/19/16
polls-plus,New Mexico,10/20/16,10/28/16,SurveyMonkey,C-,1141,lv,1.610314,43,35,19,,42.03978,33.99189,16.33457,,https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47687,74663,10/28/16
polls-plus,Ohio,10/10/16,10/15/16,CNN/Opinion Research Corp.,A-,774,lv,1.605742,44,48,4,,43.37552,47.17449,2.225299,,http://i2.cdn.turner.com/cnn/2016/images/10/17/link.3..pdf,46885,73352,10/17/16
